id;nome;categoria;dificuldade;tipoCombate;lane;descricao;imagem_url
74;Morgana;Mage-Support;Fácil;Mágico;/Suporte;Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Morgana.png
75;Nami;Support;Médio;Mágico;/Suporte;A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nami.png
76;Nasus;Warrior;Fácil;Físico;Top/;Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nasus.png
77;Nautilus;Tank-Support;Médio;Mágico;/Suporte;A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nautilus.png
78;Neeko;Mage;Fácil;Mágico;/Mid/Suporte;Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure whereâ€”or whoâ€”Neeko might be...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Neeko.png
79;Nidalee;Assasin;Dificil;Mágico;/Jungle/;Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nidalee.png
80;Nocturne;Assasin;Fácil;Físico;/Jungle/;A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nocturne.png
81;Nunu;Tank;Fácil;Mágico;;;
82;Olaf;Warrior;Médio;Físico;Top/;An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passingâ€”a coward's fate, and a great...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Olaf.png
83;Orianna;Mage;Médio;Mágico;/Mid/;Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Orianna.png
84;Ornn;Warrior;Médio;Físico/Mágico;Top/;Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ornn.png
85;Pantheon;Warrior-Assasin;Fácil;Físico;Top/Suporte;Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Pantheon.png
86;Poppy;Tank-Warrior;Médio;Físico;Top/Jungle/;Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled â€œHero of Demacia,â€ said...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Poppy.png
87;Pyke;Support;Médio;Físico;/Suporte;A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fishâ€¦ and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Pyke.png
88;Qiyana;Warrior;Médio;Físico;/Mid/;In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Qiyana.png
89;Quinn;Marksman;Médio;Físico;Top/;Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Quinn.png
90;Rakan;Support;Médio;Mágico;/Suporte;As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rakan.png
91;Rammus;Tank;Fácil;Físico/Mágico;/Jungle/;Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goesâ€”from demigod, to sacred oracle, to a mere beast...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rammus.png
92;Rek Sai;Warrior;Médio;Físico;;;
93;Renekton;Warrior;Fácil;Físico;Top/;Renekton is a terrifying, rage-fueled Ascended being from the scorched deserts of Shurima. Once, he was his empire's most esteemed warrior, leading the nation's armies to countless victories. However, after the empire's fall, Renekton was entombed...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Renekton.png
94;Rengar;Assasin;Médio;Físico;/Jungle/;Rengar is a ferocious vastayan trophy hunter who lives for the thrill of tracking down and killing dangerous creatures. He scours the world for the most fearsome beasts he can find, especially seeking any trace of Kha'Zix, the void creature who...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rengar.png
95;Riven;Warrior;Médio;Físico;Top/;Once a swordmaster in the warhosts of Noxus, Riven is an expatriate in a land she previously tried to conquer. She rose through the ranks on the strength of her conviction and brutal efficiency, and was rewarded with a legendary runic blade and a...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Riven.png
96;Rumble;Mage-Warrior;Dificil;Mágico;Top/;Rumble is a young inventor with a temper. Using nothing more than his own two hands and a heap of scrap, the feisty yordle constructed a colossal mech suit outfitted with an arsenal of electrified harpoons and incendiary rockets. Though others may scoff...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rumble.png
97;Ryze;Mage;Médio;Mágico;/Mid/;Widely considered one of the most adept sorcerers on Runeterra, Ryze is an ancient, hard-bitten archmage with an impossibly heavy burden to bear. Armed with immense arcane power and a boundless constitution, he tirelessly hunts for World Runesâ€”fragments...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ryze.png
98;Sejuani;Tank;Médio;Mágico;/Jungle/;Sejuani is the brutal, unforgiving Iceborn warmother of the Winter's Claw, one of the most feared tribes of the Freljord. Her people's survival is a constant, desperate battle against the elements, forcing them to raid Noxians, Demacians, and Avarosans...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Sejuani.png
99;Shaco;Assasin;Médio;Físico;/Jungle/;Crafted long ago as a plaything for a lonely prince, the enchanted marionette Shaco now delights in murder and mayhem. Corrupted by dark magic and the loss of his beloved charge, the once-kind puppet finds pleasure only in the misery of the poor souls...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Shaco.png
100;Shen;Tank;Médio;Físico/Mágico;Top/;Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Shen.png
101;Shyvana;Warrior;Fácil;Físico;/Jungle/;Shyvana is a creature with the magic of a rune shard burning within her heart. Though she often appears humanoid, she can take her true form as a fearsome dragon, incinerating her foes with fiery breath. Having saved the life of the crown prince Jarvan...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Shyvana.png
102;Singed;Tank-Warrior;Médio;Mágico;Top/;Singed is a Zaunite alchemist of unmatched intellect, who has devoted his life to pushing the boundaries of knowledgeâ€”with no price, even his own sanity, too high to pay. Is there a method to his madness? His concoctions rarely fail, but it appears to...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Singed.png
103;Sion;Warrior;Fácil;Físico;Top/;A war hero from a bygone era, Sion was revered in Noxus for choking the life out of a Demacian king with his bare handsâ€”but, denied oblivion, he was resurrected to serve his empire even in death. His indiscriminate slaughter claimed all who stood in his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Sion.png
104;Sivir;Marksman;Médio;Físico;/Atirador/;Sivir is a renowned fortune hunter and mercenary captain who plies her trade in the deserts of Shurima. Armed with her legendary jeweled crossblade, she has fought and won countless battles for those who can afford her exorbitant price. Known for her...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Sivir.png
105;Skarner;Warrior;Fácil;Físico/Mágico;Top/Jungle/;Skarner is an immense crystalline scorpion from a hidden valley in Shurima. Part of the ancient Brackern race, Skarner and his kin are known for their great wisdom and deep connection to the land, as their souls are fused with powerful life crystals...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Skarner.png
106;Sona;Support;Fácil;Mágico;/Suporte;Sona is Demacia's foremost virtuoso of the stringed etwahl, speaking only through her graceful chords and vibrant arias. This genteel manner has endeared her to the highborn, though others suspect her spellbinding melodies to actually emanate magicâ€”a...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Sona.png
107;Soraka;Support;Fácil;Mágico;/Suporte;A wanderer from the celestial dimensions beyond Mount Targon, Soraka gave up her immortality to protect the mortal races from their own more violent instincts. She endeavors to spread the virtues of compassion and mercy to everyone she meetsâ€”even...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Soraka.png
108;Swain;Mage;Médio;Mágico;/Suporte;Jericho Swain is the visionary ruler of Noxus, an expansionist nation that reveres only strength. Though he was cast down and crippled in the Ionian wars, his left arm severed, he seized control of the empire with ruthless determinationâ€¦ and a new...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Swain.png
109;Sylas;Mage-Warrior;Dificil;Mágico;/Mid/;Raised in one of Demacia's lesser quarters, Sylas of Dregbourne has come to symbolize the darker side of the Great City. As a boy, his ability to root out hidden sorcery caught the attention of the notorious mageseekers, who eventually imprisoned him...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Sylas.png
110;Syndra;Mage;Médio;Mágico;/Mid/;Syndra is a fearsome Ionian mage with incredible power at her command. As a child, she disturbed the village elders with her reckless and wild magic. She was sent away to be taught greater control, but eventually discovered her supposed mentor was...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Syndra.png
111;Tahm Kench;Tank-Support;Fácil;Mágico;Top/;Known by many names throughout history, the demon Tahm Kench travels the waterways of Runeterra, feeding his insatiable appetite with the misery of others. Though he may appear singularly charming and proud, he swaggers through the physical realm like a...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/TahmKench.png
112;Taliyah;Mage;Médio;Mágico;/Jungle/;Taliyah is a nomadic mage from Shurima, torn between teenage wonder and adult responsibility. She has crossed nearly all of Valoran on a journey to learn the true nature of her growing powers, though more recently she has returned to protect her tribe...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Taliyah.png
113;Talon;Assasin;Médio;Físico;/Mid/;Talon is the knife in the darkness, a merciless killer able to strike without warning and escape before any alarm is raised. He carved out a dangerous reputation on the brutal streets of Noxus, where he was forced to fight, kill, and steal to survive...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Talon.png
114;Taric;Tank-Support;Médio;Mágico;/Suporte;Taric is the Aspect of the Protector, wielding incredible power as Runeterra's guardian of life, love, and beauty. Shamed by a dereliction of duty and exiled from his homeland Demacia, Taric ascended Mount Targon to find redemption, only to discover a...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Taric.png
115;Teemo;Assasin;Fácil;Mágico;Top/;Undeterred by even the most dangerous and threatening of obstacles, Teemo scouts the world with boundless enthusiasm and a cheerful spirit. A yordle with an unwavering sense of morality, he takes pride in following the Bandle Scout's Code, sometimes...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Teemo.png
116;Thresh;Tank-Support;Dificil;Mágico;/Suporte;Sadistic and cunning, Thresh is an ambitious and restless spirit of the Shadow Isles. Once the custodian of countless arcane secrets, he was undone by a power greater than life or death, and now sustains himself by tormenting and breaking others with...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Thresh.png
117;Tristana;Marksman;Fácil;Físico;/Atirador/;While many other yordles channel their energy into discovery, invention, or just plain mischief-making, Tristana was always inspired by the adventures of great warriors. She had heard much about Runeterra, its factions, and its wars, and believed her...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Tristana.png
118;Trundle;Warrior;Fácil;Físico;Top/;Trundle is a hulking and devious troll with a particularly vicious streak, and there is nothing he cannot bludgeon into submissionâ€”not even the Freljord itself. Fiercely territorial, he chases down anyone foolish enough to enter his domain. Then, his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Trundle.png
119;Tryndamere;Warrior;Fácil;Físico;Top/;Fueled by unbridled fury and rage, Tryndamere once carved his way through the Freljord, openly challenging the greatest warriors of the north to prepare himself for even darker days ahead. The wrathful barbarian has long sought revenge for the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Tryndamere.png
120;Twisted Fate;Mage-Assasin;Médio;Mágico;/Mid/Atirador/;Twisted Fate is an infamous cardsharp and swindler who has gambled and charmed his way across much of the known world, earning the enmity and admiration of the rich and foolish alike. He rarely takes things seriously, greeting each day with a mocking...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/TwistedFate.png
121;Twitch;Marksman;Médio;Físico;/Atirador/;A Zaunite plague rat by birth, but a connoisseur of filth by passion, Twitch is not afraid to get his paws dirty. Aiming a chem-powered crossbow at the gilded heart of Piltover, he has vowed to show those in the city above just how filthy they really...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Twitch.png
122;Udyr;Warrior;Médio;Físico/Mágico;Top/Jungle/;"Udyr is more than a man; he is a vessel for the untamed power of four primal animal spirits. When tapping into the spirits' bestial natures, Udyr can harness their unique strengths: The tiger grants him speed and ferocity, the turtle resilience, the...";http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Udyr.png
123;Urgot;Warrior;Médio;Físico;Top/;Once a powerful Noxian headsman, Urgot was betrayed by the empire for which he had killed so many. Bound in iron chains, he was forced to learn the true meaning of strength in the Dredgeâ€”a prison mine deep beneath Zaun. Emerging in a disaster that...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Urgot.png
124;Varus;Marksman;Médio;Físico;/Atirador/;One of the ancient darkin, Varus was a deadly killer who loved to torment his foes, driving them almost to insanity before delivering the killing arrow. He was imprisoned at the end of the Great Darkin War, but escaped centuries later in the remade...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Varus.png
125;Vayne;Marksman;Médio;Físico;/Atirador/;Shauna Vayne is a deadly, remorseless Demacian monster hunter, who has dedicated her life to finding and destroying the demon that murdered her family. Armed with a wrist-mounted crossbow and a heart full of vengeance, she is only truly happy when...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Vayne.png
126;Veigar;Mage;Médio;Mágico;/Mid/;An enthusiastic master of dark sorcery, Veigar has embraced powers that few mortals dare approach. As a free-spirited inhabitant of Bandle City, he longed to push beyond the limitations of yordle magic, and turned instead to arcane texts that had been...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Veigar.png
127;Vel Koz;Mage;Médio;Mágico;;;
128;Vi;Warrior;Fácil;Físico;/Jungle/;Once a criminal from the mean streets of Zaun, Vi is a hotheaded, impulsive, and fearsome woman with only a very loose respect for authority figures. Growing up all but alone, Vi developed finely honed survival instincts as well as a wickedly abrasive...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Vi.png
129;Viktor;Mage;Dificil;Mágico;/Mid/;The herald of a new age of technology, Viktor has devoted his life to the advancement of humankind. An idealist who seeks to lift the people of Zaun to a new level of understanding, he believes that only by embracing a glorious evolution of technology...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Viktor.png
130;Vladimir;Mage-Warrior;Médio;Mágico;/Mid/;A fiend with a thirst for mortal blood, Vladimir has influenced the affairs of Noxus since the empire's earliest days. In addition to unnaturally extending his life, his mastery of hemomancy allows him to control the minds and bodies of others as easily...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Vladimir.png
131;Volibear;Tank-Warrior;Fácil;Físico;Top/;To those who still revere him, the Volibear is the storm made manifest. Destructive, wild, and stubbornly resolute, he existed before mortals walked the Freljord's tundra, and is fiercely protective of the lands that he and his demi-god kin created...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Volibear.png
132;Warwick;Warrior;Fácil;Físico;/Jungle/;Warwick is a monster who hunts the gray alleys of Zaun. Transformed by agonizing experiments, his body is fused with an intricate system of chambers and pumps, machinery filling his veins with alchemical rage. Bursting out of the shadows, he preys upon...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Warwick.png
133;Wukong;Warrior;Fácil;Físico;/Jungle/;Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/MonkeyKing.png
134;Xayah;Marksman;Médio;Físico;/Atirador/;Deadly and precise, Xayah is a vastayan revolutionary waging a personal war to save her people. She uses her speed, guile, and razor-sharp feather blades to cut down anyone who stands in her way. Xayah fights alongside her partner and lover, Rakan, to...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Xayah.png
135;Xerath;Mage;Médio;Mágico;/Mid/Suporte;Xerath is an Ascended Magus of ancient Shurima, a being of arcane energy writhing in the broken shards of a magical sarcophagus. For millennia, he was trapped beneath the desert sands, but the rise of Shurima freed him from his ancient prison. Driven...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Xerath.png
136;Xin Zhao;Warrior;Fácil;Físico;/Jungle/;Xin Zhao is a resolute warrior loyal to the ruling Lightshield dynasty. Once condemned to the fighting pits of Noxus, he survived countless gladiatorial bouts, but after being freed by Demacian forces, he swore his life and allegiance to these brave...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/XinZhao.png
137;Yasuo;Warrior;Dificil;Físico;Top/Mid/Atirador/;An Ionian of deep resolve, Yasuo is an agile swordsman who wields the air itself against his enemies. As a proud young man, he was falsely accused of murdering his masterâ€”unable to prove his innocence, he was forced to slay his own brother in self...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Yasuo.png
138;Yorick;Warrior;Médio;Físico/Mágico;Top/;The last survivor of a long-forgotten religious order, Yorick is both blessed and cursed with power over the dead. Trapped on the Shadow Isles, his only companions are the rotting corpses and shrieking spirits that he gathers to him. Yorick's monstrous...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Yorick.png
139;Yuumi;Support;Fácil;Mágico;/Suporte;A magical cat from Bandle City, Yuumi was once the familiar of a yordle enchantress, Norra. When her master mysteriously disappeared, Yuumi became the Keeper of Norra's sentient Book of Thresholds, traveling through portals in its pages to search for...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Yuumi.png
140;Zac;Tank-Warrior;Fácil;Mágico;/Jungle/;Zac is the product of a toxic spill that ran through a chemtech seam and pooled in an isolated cavern deep in Zaun's Sump. Despite such humble origins, Zac has grown from primordial ooze into a thinking being who dwells in the city's pipes, occasionally...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Zac.png
141;Zed;Assasin;Dificil;Físico;/Mid/;Utterly ruthless and without mercy, Zed is the leader of the Order of Shadow, an organization he created with the intent of militarizing Ionia's magical and martial traditions to drive out Noxian invaders. During the war, desperation led him to unlock...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Zed.png
142;Ziggs;Mage;Médio;Mágico;/Atirador/;With a love of big bombs and short fuses, the yordle Ziggs is an explosive force of nature. As an inventor's assistant in Piltover, he was bored by his predictable life and befriended a mad, blue-haired bomber named Jinx. After a wild night on the town...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ziggs.png
143;Zilean;Mage-Support;Médio;Mágico;/Suporte;Once a powerful Icathian mage, Zilean became obsessed with the passage of time after witnessing his homeland's destruction by the Void. Unable to spare even a minute to grieve the catastrophic loss, he called upon ancient temporal magic to divine all...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Zilean.png
144;Zoe;Mage;Dificil;Mágico;/Mid/;As the embodiment of mischief, imagination, and change, Zoe acts as the cosmic messenger of Targon, heralding major events that reshape worlds. Her mere presence warps the arcane mathematics governing realities, sometimes causing cataclysms without...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Zoe.png
145;Zyra;Mage-Support;Médio;Mágico;/Suporte;Born in an ancient, sorcerous catastrophe, Zyra is the wrath of nature given formâ€”an alluring hybrid of plant and human, kindling new life with every step. She views the many mortals of Valoran as little more than prey for her seeded progeny, and thinks...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Zyra.png